,chinese name,nickname,full name
0,波士頓塞爾蒂克,BOS,Boston Celtics
1,費城76人,PHI,Philadelphia 76ers
2,多倫多暴龍,TOR,Toronto Raptors
3,芝加哥公牛,CHI,Chicago Bulls
4,克里夫蘭騎士,CLE,Cleveland Cavaliers
5,底特律活塞,DET,Detroit Pistons
6,印地安那溜馬,IND,Indiana Pacers
7,密爾瓦基公鹿,MIL,Milwaukee Bucks
8,亞特蘭大老鷹,ATL,Atlanta Hawks
9,夏洛特山貓,CHA,Charlotte Bobcats
10,邁阿密熱火,MIA,Miami Heat
11,奧蘭多魔術,ORL,Orlando Magic
12,華盛頓巫師,WAS,Washington Wizards
13,達拉斯小牛,DAL,Dallas Mavericks
14,休士頓火箭,HOU,Houston Rockets
15,孟斐斯灰熊,MEM,Memphis Grizzlies
16,聖安東尼奧馬刺,SAS,San Antonio Spurs
17,丹佛金塊,DEN,Denver Nuggets
18,明尼蘇達灰狼,MIN,Minnesota Timberwolves
19,波特蘭拓荒者,POR,Portland Trail Blazers
20,猶他爵士,UTA,Utah Jazz
21,洛杉磯快艇,LAC,Los Angeles Clippers
22,洛杉磯湖人,LAL,Los Angeles Lakers
23,沙加緬度國王,SAC,Sacramento Kings
24,布魯克林籃網,BKN,Brooklyn Nets
25,俄克拉荷馬城雷霆,OKC,Oklahoma City Thunder
26,紐奧良鵜鶘,NOP,New Orleans Pelicans
27,紐約尼克,NYK,New York Knicks
28,金州勇士,GSW,Golden State Warriors
29,鳳凰城太陽,PHX,Phoenix Suns
